ranking,album,year,ranking,genre,sex,region
139,Colin Stetson - New History Warfare Vol. 2,2011,8/10,Experimental,Male,North America
140,Leonard Cohen - You Want It Darker,2016,?/10,Folk,Male,North America
141,Timber Timbre - Hot Dreams,2014,8/10,Folk,Male,North America
142,Armand Hammer - Paraffin,2018,8/10,Hip-hop,Male,North America
143,Deerhunter - Halcyon Digest,2010,8/10,Rock,Male,North America
144,Kvelertak - Kvelertak,2010,8/10,Hardcore,Male,Europe
145,High On Fire - Luminiferous,2015,8/10,Metal,Male,North America
146,Ratking - So It Goes,2014,8/10,Hip-hop,Male,North America
147,Panopticon - Roads to the North,2014,8/10,Metal,Male,North America
148,Waka Flocka Flame - Flockaveli,2010,?/10,Hip-hop,Male,North America
149,St. Vincent - Strange Mercy,2011,8/10,Pop,Female,North America
150,Noname - Room 25,2018,8/10,Hip-hop,Female,North America
151,Deafheaven - Sunbather,2013,8/10,Hardcore,Male,North America
152,SZA - Ctrl,2017,7/10,Soul,Female,North America
153,Chuck Person - Eccojams Vol. 1,2010,?/10,Electronic,Male,North America
154,Arcade Fire - The Suburbs,2010,8/10,Rock,Male,North America
155,Vampire Weekend - Contra,2010,?/10,Pop,Male,North America
156,Chelsea Wolfe - Abyss,2015,8/10,Experimental,Female,North America
157,Spiritualized - Sweet Heart Sweet Light,2012,8/10,Rock,Male,Europe
158,Indian - From All Purity,2014,8/10,Metal,Male,North America
159,Pusha T - Daytona,2018,8/10,Hip-hop,Male,North America
160,BADBADNOTGOOD - BBNG2,2012,9/10,Jazz,Male,North America
161,Lana Del Rey - Norman Fucking Rockwell!,2019,8/10,Pop,Female,North America
162,Sturgill Simpson - A Sailor's Guide to Earth,2016,8/10,Folk,Male,North America
163,Solange - A Seat at the Table,2016,8/10,Soul,Female,North America
164,Ab-Soul - Control System,2012,8/10,Hip-hop,Male,North America
165,Converge - All We Love We Leave Behind,2012,8/10,Hardcore,Male,North America
166,A$AP Rocky - Live Love A$AP,2011,8/10,Hip-hop,Male,North America
167,James Ferraro - Far Side Virtual,2011,?/10,Electronic,Male,North America
168,Lil B - God’s Father,2012,?/10,Hip-hop,Male,North America
169,Traxman - Da Mind of Traxman,2012,?/10,Electronic,Male,North America
170,Gil Scott Heron - I’m New Here,2010,?/10,Electronic,Male,North America
171,Godspeed You! Black Emperor - 'Allelujah! Don't Bend! Ascend!,2012,8/10,Rock,Male,North America
172,Kyary Pamyu Pamyu - Nandacollection,2013,8/10,Pop,Female,Asia
173,Playboi Carti - Die Lit,2018,7/10,Hip-hop,Male,North America
174,Portico Quartet - Portico Quartet,2012,8/10,Ambient,Male,Europe
175,Anderson .Paak - Oxnard,2018,8/10,Soul,Male,North America
176,Little Women - Throat,2010,9/10,Experimental,Male,North America
177,Deerhoof - Breakup Song,2012,?/10,Rock,Female,North America
178,Jay-Z - 4:44,2017,8/10,Hip-hop,Male,North America
179,Everything Everything - Get to Heaven,2015,8/10,Pop,Male,North America
180,Ka - The Knights Gambit,2013,8/10,Hip-hop,Male,North America
181,Carly Rae Jepsen - E.MO.TION,2015,7/10,Pop,Female,North America
182,Autechre - Exai,2013,8/10,Electronic,Male,North America
183,Jon Hopkins - Immunity,2013,8/10,Electronic,Male,North America
184,MGMT - Congratulations,2010,8/10,Pop,Male,North America
185,Bill Callahan - Dream River,2013,8/10,Folk,Male,North America
186,Gorguts - Colored Sands,2013,8/10,Metal,Male,North America
187,Drake - If You're Reading This It's Too Late,2015,8/10,Hip-hop,Male,North America
188,Kurt Vile - Wakin on a Pretty Daze,2013,8/10,Folk,Male,North America
189,Tame Impala - Lonerism,2012,8/10,Rock,Male,Australia
190,The Weeknd - Trilogy,2012,?/10,Pop,Male,North America
191,Lil Ugly Mane - Mista Thug Isolation,2012,?/10,Hip-hop,Male,North America
192,Sufjan Stevens - Carrie & Lowell,2015,7/10,Folk,Male,North America
193,Neon Indian - VEGA INTL. Night School,2015,7/10,Pop,Male,North America
194,Tierra Whack - Whack World,2018,7/10,Hip-hop,Female,North America
195,Mac Miller - Faces,2014,6/10,Hip-hop,Male,North America
196,The Caretaker - An Empty Bliss Beyond This World,2011,?/10,Ambient,Male,Europe
197,George Clanton - Slide,2018,7/10,Pop,Male,North America
198,Viagra Boys - Street Worms,2018,?/10,Rock,Male,Europe
199,Titus Andronicus - The Monitor,2010,7/10,Rock,Male,North America
200,Farrah Abraham - My Teenage Dream Ended,2012,?/10,Pop,Female,North America
